date	close
15-Apr-14	642
16-Apr-14	630
17-Apr-14	615
18-Apr-14	576
23-Apr-14	517
24-Apr-14	508
25-Apr-14	460
28-Apr-14	437
29-Apr-14	394
30-Apr-14	380
01-May-14	374
02-May-14	341
05-May-14	331
06-May-14	317
07-May-14	311
08-May-14	305
09-May-14	262
12-May-14	243
13-May-14	229
14-May-14	222
15-May-14	218
20-May-14	100
